0101.21.00,--	Reprodutores de raça pura,NT
0101.29.00,--	Outros,NT
0101.30.00,-	Asininos,NT
0101.90.00,-	Outros,NT
0102.21.10,Prenhes ou com cria ao pé,NT
0102.21.90,Outros,NT
0102.29.11,Prenhes ou com cria ao pé,NT
0102.29.19,Outros,NT
0102.29.90,Outros,NT
0102.31.10,Prenhes ou com cria ao pé,NT
0102.31.90,Outros,NT
0102.39.11,Prenhes ou com cria ao pé,NT
0102.39.19,Outros,NT
0102.39.90,Outros,NT
0102.90.00,-	Outros,NT
0103.10.00,-	Reprodutores de raça pura,NT
0103.91.00,--	De peso inferior a 50 kg,NT
0103.92.00,--	De peso igual ou superior a 50 kg,NT
0104.10.11,Prenhes ou com cria ao pé,NT
0104.10.19,Outros,NT
0104.10.90,Outros,NT
0104.20.10,Reprodutores de raça pura,NT
0104.20.90,Outros,NT
0105.11.10,"De linhas puras ou híbridas, para reprodução",NT
0105.11.90,Outros,NT
0105.12.00,--	Peruas e perus,NT
0105.13.00,--	Patos,NT
0105.14.00,--	Gansos,NT
0105.15.00,--	Galinhas-d'angola (pintadas),NT
0105.94.00,--	Galos e galinhas,NT
0105.99.00,--	Outros,NT
0106.11.00,--	Primatas,NT
0106.12.00,"--	Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)",NT
0106.13.00,--	Camelos e outros camelídeos (Camelidae),NT
0106.14.00,--	Coelhos e lebres,NT
0106.19.00,--	Outros,NT
0106.20.00,-	Répteis (incluindo as serpentes e as tartarugas marinhas),NT
0106.31.00,--	Aves de rapina,NT
0106.32.00,"--	Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas)",NT
0106.33.10,"Avestruzes (Struthio camelus), para reprodução",NT
0106.33.90,Outros,NT
0106.39.00,--	Outras,NT
0106.41.00,--	Abelhas,NT
0106.49.00,--	Outros,NT
0106.90.00,-	Outros,NT
0201.10.00,-	Carcaças e meias-carcaças,0
0201.20.10,Quartos dianteiros,0
0201.20.20,Quartos traseiros,0
0201.20.90,Outras,0
0201.30.00,-	Desossadas,0
0202.10.00,-	Carcaças e meias-carcaças,0
0202.20.10,Quartos dianteiros,0
0202.20.20,Quartos traseiros,0
0202.20.90,Outras,0
0202.30.00,-	Desossadas,0
0203.11.00,--	Carcaças e meias-carcaças,0
0203.12.00,"--	Pernas, pás e respectivos pedaços, não desossados",0
0203.19.00,--	Outras,0
0203.21.00,--	Carcaças e meias-carcaças,0
0203.22.00,"--	Pernas, pás e respectivos pedaços, não desossados",0
0203.29.00,--	Outras,0
0204.10.00,"-	Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas",0
0204.21.00,--	Carcaças e meias-carcaças,0
0204.22.00,--	Outras peças não desossadas,0
0204.23.00,--	Desossadas,0
0204.30.00,"-	Carcaças e meias-carcaças de cordeiro, congeladas",0
0204.41.00,--	Carcaças e meias-carcaças,0
0204.42.00,--	Outras peças não desossadas,0
0204.43.00,--	Desossadas,0
0204.50.00,-	Carnes de animais da espécie caprina,0
0205.00.00,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",0
0206.10.00,"-	Da espécie bovina, frescas ou refrigeradas",0
0206.21.00,--	Línguas,0
0206.22.00,--	Fígados,0
0206.29.10,Rabos,0
0206.29.90,Outros,0
0206.30.00,"-	Da espécie suína, frescas ou refrigeradas",0
0206.41.00,--	Fígados,0
0206.49.00,--	Outras,0
0206.80.00,"-	Outras, frescas ou refrigeradas",0
0206.90.00,"-	Outras, congeladas",0
0207.11.00,"--	Não cortadas em pedaços, frescas ou refrigeradas",0
0207.12.00,"--	Não cortadas em pedaços, congeladas",0
0207.13.00,"--	Pedaços e miudezas, frescos ou refrigerados",0
0207.14.00,"--	Pedaços e miudezas, congelados",0
0207.24.00,"--	Não cortadas em pedaços, frescas ou refrigeradas",0
0207.25.00,"--	Não cortadas em pedaços, congeladas",0
0207.26.00,"--	Pedaços e miudezas, frescos ou refrigerados",0
0207.27.00,"--	Pedaços e miudezas, congelados",0
0207.41.00,"--	Não cortadas em pedaços, frescas ou refrigeradas",0
0207.42.00,"--	Não cortadas em pedaços, congeladas",0
0207.43.00,"--	Fígados gordos (foies gras), frescos ou refrigerados",0
0207.44.00,"--	Outras, frescas ou refrigeradas",0
0207.45.00,"--	Outras, congeladas",0
0207.51.00,"--	Não cortadas em pedaços, frescas ou refrigeradas",0
0207.52.00,"--	Não cortadas em pedaços, congeladas",0
0207.53.00,"--	Fígados gordos (foies gras), frescos ou refrigerados",0
0207.54.00,"--	Outras, frescas ou refrigeradas",0
0207.55.00,"--	Outras, congeladas",0
0207.60.00,-	De galinhas-d'angola (pintadas),0
0208.10.00,-	De coelhos ou de lebres,0
0208.30.00,-	De primatas,0
0208.40.00,"-	De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)",0
0208.50.00,-	De répteis (incluindo as serpentes e as tartarugas marinhas),0
0208.60.00,-	De camelos e de outros camelídeos (Camelidae),0
0208.90.00,-	Outras,0
0209.10.11,"Fresco, refrigerado ou congelado",0
0209.10.19,Outros,0
0209.10.21,"Fresca, refrigerada ou congelada",0
0209.10.29,Outras,0
0209.90.00,-	Outros,0
0210.11.00,"--	Pernas, pás e respectivos pedaços, não desossados",0
0210.12.00,--	Toucinhos entremeados e seus pedaços,0
0210.19.00,--	Outras,0
0210.20.00,-	Carnes da espécie bovina,0
0210.91.00,--	De primatas,0
0210.92.00,"--	De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)",0
0210.93.00,--	De répteis (incluindo as serpentes e as tartarugas marinhas),0
0210.99.00,--	Outras,0
0301.11.10,Aruanã (Osteoglossum bicirrhosum),NT
0301.11.90,Outros,NT
0301.19.00,--	Outros,NT
0301.91.10,Para reprodução,NT
0301.91.90,Outras,NT
0301.92.10,Para reprodução,NT
0301.92.90,Outras,NT
0301.93.10,Para reprodução,NT
0301.93.90,Outras,NT
0301.94.10,Para reprodução,NT
0301.94.90,Outras,NT
0301.95.10,Para reprodução,NT
0301.95.90,Outros,NT
0301.99.11,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",NT
0301.99.12,"Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",NT
0301.99.19,Outros,NT
0301.99.91,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",NT
0301.99.92,"Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",NT
0301.99.99,Outros,NT
0302.11.00,"--	Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0
